Nama Lokasi,Hari,Jam Login,Nama,Jenis Kelamin,Email,No Telp,Provider Seluler,Tahun Lahir,Merek HP,Digital Interest,Location Type,Durasi
RS Star Domo,Selasa,14:52:42,Bayu Bayu Bayu,Laki-laki,Bayu_Bayu_Bayu@gmail.com,086444050730,3,1982,Oppo,Social Connection,Rumah Sakit,01:20:30
RS Permata Gudetama,Jumat,07:39:33,Bayu Bayu Fajar,Laki-laki,Bayu_Bayu_Fajar@gmail.com,085903478050,Telkomsel,1999,ASUS,Hiburan,Rumah Sakit,02:01:35
RS Pesona Gemilang,Kamis,09:00:57,Bayu Bayu Ilham,Perempuan,Bayu_Bayu_Ilham@gmail.com,081356753424,Telkomsel,1993,Vivo,Game,Rumah Sakit,02:04:38
Kafe Rotello Larry,Kamis,20:25:04,Bayu Bayu Wahyu,Laki-laki,Bayu_Bayu_Wahyu@gmail.com,082472290391,XL,1983,Realme,Hiburan,Kafe,01:36:35
Restoran Permata Larry,Rabu,18:29:52,Bayu Bayu Rizki,Laki-laki,Bayu_Bayu_Rizki@gmail.com,085733742521,Indosat,1997,Lenovo,Game,Restoran,01:50:53
Halte Gemilang Star,Senin,12:24:37,Bayu Bayu Naufal,Perempuan,Bayu_Bayu_Naufal@gmail.com,085697455298,Indosat,1992,Lenovo,Social Connection,Halte,00:50:37
Mall Star Permata,Selasa,12:41:51,Bayu Bayu Tono,Perempuan,Bayu_Bayu_Tono@gmail.com,087464403659,Indosat,1975,Lenovo,Game,Mall,02:53:16
Kafe Jaguar Gudetama,Jumat,17:18:37,Bayu Bayu Bagus,Laki-laki,Bayu_Bayu_Bagus@gmail.com,087749866949,Indosat,1972,Lenovo,Work Stuff,Kafe,00:29:13
Restoran Rainbow Larry,Minggu,18:30:17,Bayu Bayu Asep,Laki-laki,Bayu_Bayu_Asep@gmail.com,085793731027,3,2003,Huawei,Social Connection,Restoran,00:47:37
Halte Pesona Sky,Sabtu,14:54:03,Bayu Bayu Kartika,Laki-laki,Bayu_Bayu_Kartika@gmail.com,085119563781,XL,2001,Xiaomi,Social Connection,Halte,02:06:59
Kafe Permata Rotello,Sabtu,09:36:36,Bayu Bayu Ayu,Laki-laki,Bayu_Bayu_Ayu@gmail.com,082408558308,3,1993,Oppo,Sosial Media,Kafe,01:47:10
Halte Larry Rainbow,Kamis,15:09:51,Bayu Bayu Alma,Perempuan,Bayu_Bayu_Alma@gmail.com,089465190446,Telkomsel,1979,Vivo,Social Connection,Halte,01:57:13
