customer,jumlah_payment
"AARON SELBY",24
"ADAM GOOCH",22
"ADRIAN CLARY",19
"AGNES BISHOP",23
"ALAN KAHN",26
"ALBERT CROUSE",23
"ALBERTO HENNING",21
"ALEX GRESHAM",33
"ALEXANDER FENNELL",36
"ALFRED CASILLAS",26
"ALFREDO MCADAMS",20
"ALICE STEWART",33
"ALICIA MILLS",21
"ALLAN CORNISH",19
"ALLEN BUTTERFIELD",21
"ALLISON STANLEY",27
"ALMA AUSTIN",35
"ALVIN DELOACH",29
"AMANDA CARTER",27
"AMBER DIXON",27
"AMY LOPEZ",29
"ANA BRADLEY",34
"ANDRE RAPP",28
"ANDREA HENDERSON",22
"ANDREW PURDY",27
"ANDY VANHORN",25
"ANGEL BARCLAY",32
"ANGELA HERNANDEZ",36
"ANITA MORALES",15
"ANN EVANS",17
"ANNA HILL",21
"ANNE POWELL",23
"ANNETTE OLSON",24
"ANNIE RUSSELL",18
"ANTHONY SCHWAB",20
"ANTONIO MEEK",16
"APRIL BURNS",26
"ARLENE HARVEY",26
"ARMANDO GRUBER",21
"ARNOLD HAVENS",33
"ARTHUR SIMPKINS",32
"ASHLEY RICHARDSON",25
"AUDREY RAY",29
"AUSTIN CINTRON",19
"BARBARA JONES",22
"BARRY LOVELACE",33
"BEATRICE ARNOLD",26
"BECKY MILES",29
"BEN EASTER",26
"BENJAMIN VARNEY",23
"BERNARD COLBY",22
"BERNICE WILLIS",33
"BERTHA FERGUSON",25
"BESSIE MORRISON",28
"BETH FRANKLIN",25
"BETTY WHITE",28
"BEVERLY BROOKS",24
"BILL GAVIN",28
"BILLIE HORTON",26
"BILLY POULIN",35
"BOB PFEIFFER",24
"BOBBIE CRAIG",24
"BOBBY BOUDREAU",35
"BONNIE HUGHES",21
"BRAD MCCURDY",25
"BRADLEY MOTLEY",27
"BRANDON HUEY",37
"BRANDY GRAVES",28
"BRENDA WRIGHT",26
"BRENT HARKINS",23
"BRETT CORNWELL",34
"BRIAN WYMAN",12
"BRITTANY RILEY",28
"BRUCE SCHWARZ",23
"BRYAN HARDISON",28
"BYRON BOX",29
"CALVIN MARTEL",23
"CARL ARTIS",23
"CARLA GUTIERREZ",26
"CARLOS COUGHLIN",23
"CARMEN OWENS",26
"CAROL GARCIA",22
"CAROLE BARNETT",30
"CAROLINE BOWMAN",15
"CAROLYN PEREZ",30
"CARRIE PORTER",34
"CASEY MENA",34
"CASSANDRA WALTERS",30
"CATHERINE CAMPBELL",34
